adult,budget,genres,id,imdb_id,original_language,original_title,popularity,year,month,day,revenue,runtime,spoken_languages,status,title,video,vote_average,vote_count,is_comedy,is_action,is_horror,is_family,is_drama,is_thriller
FALSE,160,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 9648, 'name': 'Mystery'}, {'id': 12, 'name': 'Adventure'}]",27205,tt1375666,en,Inception,29.108149,2010,7,14,825.532764,148,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Inception,False,8.1,14075,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
FALSE,185,"[{'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",155,tt0468569,en,The Dark Knight,123.167259,2008,7,16,1004.558444,152,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'zh', 'name': 'ć™®é€ščŻť'}]",Released,The Dark Knight,False,8.3,12269,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
FALSE,237,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 878, 'name': 'Science Fiction'}]",19995,tt0499549,en,Avatar,185.070892,2009,12,10,2787.965087,162,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'es', 'name': 'EspaĂ±ol'}]",Released,Avatar,False,7.2,12114,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
FALSE,220,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}]",24428,tt0848228,en,The Avengers,89.887648,2012,4,25,1519.55791,143,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,The Avengers,False,7.4,12000,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
FALSE,58,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}]",293660,tt1431045,en,Deadpool,187.860492,2016,2,9,783.112979,108,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Deadpool,False,7.4,11444,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
FALSE,165,"[{'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 878, 'name': 'Science Fiction'}]",157336,tt0816692,en,Interstellar,32.213481,2014,11,5,675.120017,169,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Interstellar,False,8.1,11187,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
FALSE,100,"[{'id': 18, 'name': 'Drama'}, {'id': 37, 'name': 'Western'}]",68718,tt1853728,en,Django Unchained,19.785025,2012,12,25,425.368238,165,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'FranĂ§ais'}, {'iso_639_1': 'de', 'name': 'Deutsch'}]",Released,Django Unchained,False,7.8,10297,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
FALSE,170,"[{'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 12, 'name': 'Adventure'}]",118340,tt2015381,en,Guardians of the Galaxy,53.291601,2014,7,30,773.328629,121,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Guardians of the Galaxy,False,7.9,10014,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
FALSE,63,"[{'id': 18, 'name': 'Drama'}]",550,tt0137523,en,Fight Club,63.869599,1999,10,15,100.853753,139,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Fight Club,False,8.3,9678,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
FALSE,75,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}]",70160,tt1392170,en,The Hunger Games,20.031667,2012,3,12,691.210692,142,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,The Hunger Games,False,6.9,9634,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FALSE,150,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",76341,tt1392190,en,Mad Max: Fury Road,29.36178,2015,5,13,378.85834,120,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Mad Max: Fury Road,False,7.3,9629,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
FALSE,250,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",49026,tt1345836,en,The Dark Knight Rises,20.58258,2012,7,16,1084.939099,165,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,The Dark Knight Rises,False,7.6,9263,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
FALSE,63,"[{'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]",603,tt0133093,en,The Matrix,33.366332,1999,3,30,463.517383,136,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,The Matrix,False,7.9,9079,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
FALSE,140,"[{'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 12, 'name': 'Adventure'}]",1726,tt0371746,en,Iron Man,22.073099,2008,4,30,585.174222,126,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fa', 'name': 'ŮŘ§Ř±ŘłŰŚ'}, {'iso_639_1': 'ur', 'name': 'Ř§Ř±ŘŻŮ'}, {'iso_639_1': 'ar', 'name': 'Ř§Ů„ŘąŘ±Ř¨ŮŠŘ©'}]",Released,Iron Man,False,7.4,8951,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
FALSE,200,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}]",68721,tt1300854,en,Iron Man 3,23.721243,2013,4,18,1215.439994,130,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Iron Man 3,False,6.8,8951,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
FALSE,93,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 28, 'name': 'Action'}]",120,tt0120737,en,The Lord of the Rings: The Fellowship of the Ring,32.070725,2001,12,18,871.368364,178,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,The Lord of the Rings: The Fellowship of the Ring,False,8,8892,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
FALSE,150,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]",135397,tt0369610,en,Jurassic World,32.790475,2015,6,9,1513.52881,124,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Jurassic World,False,6.5,8842,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
FALSE,8,"[{'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",680,tt0110912,en,Pulp Fiction,140.950236,1994,9,10,213.928762,154,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'es', 'name': 'EspaĂ±ol'}, {'iso_639_1': 'fr', 'name': 'FranĂ§ais'}]",Released,Pulp Fiction,False,8.3,8670,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
FALSE,250,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 28, 'name': 'Action'}]",49051,tt0903624,en,The Hobbit: An Unexpected Journey,23.253089,2012,11,26,1021.103568,169,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,The Hobbit: An Unexpected Journey,False,7,8427,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
FALSE,25,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",278,tt0111161,en,The Shawshank Redemption,51.645403,1994,9,23,28.341469,142,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,The Shawshank Redemption,False,8.5,8358,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
FALSE,94,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 28, 'name': 'Action'}]",122,tt0167260,en,The Lord of the Rings: The Return of the King,29.324358,2003,12,1,1118.888979,201,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,The Lord of the Rings: The Return of the King,False,8.1,8226,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
FALSE,55,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",13,tt0109830,en,Forrest Gump,48.307194,1994,7,6,677.945399,142,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Forrest Gump,False,8.2,8147,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
FALSE,245,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 14, 'name': 'Fantasy'}]",140607,tt2488496,en,Star Wars: The Force Awakens,31.626013,2015,12,15,2068.223624,136,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Star Wars: The Force Awakens,False,7.5,7993,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
FALSE,200,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}, {'id': 53, 'name': 'Thriller'}]",597,tt0120338,en,Titanic,26.88907,1997,11,18,1845.034188,194,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'FranĂ§ais'}, {'iso_639_1': 'de', 'name': 'Deutsch'}, {'iso_639_1': 'sv', 'name': 'svenska'}, {'iso_639_1': 'it', 'name': 'Italiano'}, {'iso_639_1': 'ru', 'name': 'PŃŃŃĐşĐ¸Đą'}]",Released,Titanic,False,7.5,7770,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
